SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1631254,0022201226,"APR 09, 2023",MEM @ OKC,L,40,17,25,0.68,0,2,0.0,8,12,0.667,6,8,14,0,1,0,2,3,42,-17,1
22022,1631254,0022201208,"APR 07, 2023",MEM @ MIL,W,3,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,1,2,3,2,1
22022,1631254,0022201194,"APR 05, 2023",MEM @ NOP,L,23,3,9,0.333,0,1,0.0,0,1,0.0,3,2,5,3,1,0,1,3,6,8,1
22022,1631254,0022201184,"APR 04, 2023",MEM vs. POR,W,4,1,2,0.5,0,1,0.0,1,1,1.0,0,1,1,0,0,0,0,0,3,-6,1
22022,1631254,0022201165,"APR 02, 2023",MEM @ CHI,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,1,0,0,1
22022,1631254,0022201141,"MAR 29, 2023",MEM vs. LAC,L,9,1,4,0.25,0,0,0.0,1,2,0.5,1,3,4,1,0,0,1,1,3,-2,1
22022,1631254,0022201100,"MAR 24, 2023",MEM vs. HOU,W,10,5,9,0.556,1,1,1.0,0,0,0.0,0,2,2,3,2,1,0,1,11,-2,1
22022,1631254,0022201088,"MAR 22, 2023",MEM vs. HOU,W,14,2,3,0.667,0,0,0.0,1,2,0.5,1,3,4,2,0,0,0,4,5,3,1
22022,1631254,0022201061,"MAR 18, 2023",MEM vs. GSW,W,3,1,3,0.333,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,-6,1
22022,1631254,0022201052,"MAR 17, 2023",MEM @ SAS,W,14,4,6,0.667,1,2,0.5,2,4,0.5,3,4,7,1,0,1,2,2,11,5,1
22022,1631254,0022201036,"MAR 15, 2023",MEM @ MIA,L,12,4,6,0.667,2,2,1.0,0,0,0.0,1,2,3,2,0,0,1,3,10,9,1
22022,1631254,0022201023,"MAR 13, 2023",MEM @ DAL,W,3,1,3,0.333,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,1,2,-3,1
22022,1631254,0022200996,"MAR 09, 2023",MEM vs. GSW,W,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,1,3,3,1
22022,1631254,0022200952,"MAR 03, 2023",MEM @ DEN,L,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,2,1
22022,1631254,0022200927,"FEB 28, 2023",MEM vs. LAL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22022,1631254,0022200907,"FEB 25, 2023",MEM vs. DEN,W,4,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,2,-10,1
22022,1631254,0022200841,"FEB 10, 2023",MEM vs. MIN,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,0,1
22022,1631254,0022200712,"JAN 23, 2023",MEM @ SAC,L,5,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,1,1,2,-12,1
22022,1631254,0022200547,"JAN 01, 2023",MEM vs. SAC,W,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22022,1631254,0022200404,"DEC 12, 2022",MEM vs. ATL,W,4,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,4,-5,1
22022,1631254,0022200279,"NOV 25, 2022",MEM vs. NOP,W,5,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,0,2,-10,1
22022,1631254,0022200101,"OCT 31, 2022",MEM @ UTA,L,5,2,5,0.4,0,0,0.0,1,2,0.5,1,0,1,0,0,0,0,0,5,4,1
22022,1631254,0022200069,"OCT 27, 2022",MEM @ SAC,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22022,1631254,0022200034,"OCT 22, 2022",MEM @ DAL,L,9,2,4,0.5,0,1,0.0,0,1,0.0,0,1,1,1,0,0,0,3,4,-9,1
